qc_job_name|qc_co_name|qc_job_loc|qc_job_pay|qc_job_date|qc_co_type|qc_co_ee_size|qc_co_tags|qc_co_desc|qc_co_address
海外考试课程咨询主管（高新区）|美中国际教育集团|成都-高新区|0.8-1万/月|06-12|外资（欧美）  |  150-500人  |  教育/培训/院校专业服务(咨询、人力资源、财会)||公司地址：中国成都市锦江区下东大街216号喜年广场A座8层、25层(邮编：610016)
培训顾问/海外游学顾问|美国商业战略公司|上海-徐汇区|6-8千/月|06-12|外资（欧美）  |  50-150人  |  教育/培训/院校酒店/旅游||公司地址：北京市朝阳区东土城路建达大厦506室(邮编：100013)
21世纪总部/房产经纪人/新房/二手房/海外综和业务|河南弘业房地产代理咨询有限公司郑州祥盛街分公司|郑州|0.8-1万/月|06-12|合资  |  500-1000人  |  房地产中介服务||公司地址：黄河南路与祥盛姐交叉口(邮编：450000)
外联专员（海外项目）|中交第二公路工程局有限公司海外事业部|异地招聘|15-20万/年|06-12|国企  |  5000-10000人  |  建筑/建材/工程交通/运输/物流||公司地址：科技六路33号(邮编：710099)
海外业务员|宁波郅隆国际货运代理有限公司|宁波|4.5-6千/月|06-12|民营公司  |  少于50人  |  交通/运输/物流贸易/进出口||公司地址：宁波市江东区银晨国际1幢504-1(邮编：315000)
博士、硕士、海外留学生|株洲嘉成科技发展有限公司|株洲|7-30万/年|06-12|民营公司  |  150-500人  |  仪器仪表/工业自动化电子技术/半导体/集成电路||公司地址：湖南省株洲市高新区动力谷自主创新F18栋(邮编：412000)
海外部经理|广州恒华国际货运代理有限公司|广州-白云区|3-4.5千/月|06-12|民营公司  |  少于50人  |  交通/运输/物流||公司地址：白云区广园中路69号建兴商业大厦10D室(邮编：510000)
理财经理(股权/海外投资)|诺远资产管理有限公司|天津-南开区|0.3-1.7万/月|06-12|民营公司  |  5000-10000人  |  金融/投资/证券银行||公司地址：天津市南开区长江道与南开三马路交口金融街融汇广场A座2016(邮编：300000)
海外客服(韩语）|帕特纳国际物流（上海）有限公司|上海-闸北区|5-7千/月|06-12|民营公司  |  少于50人  |  交通/运输/物流贸易/进出口||公司地址：上海市闸北区中山北路198号申航大厦1004室(邮编：200071)
海外联络专员|北京捷旅通酒店信息咨询有限公司|北京|3-4.5千/月|06-12|合资  |  少于50人  |  专业服务(咨询、人力资源、财会)酒店/旅游||公司地址：北京市方庄桥东南角亚胜铂第公馆，B座9层(邮编：100164)
海外销售专员|上海天臣防伪技术股份有限公司|上海-松江区|5-8千/月|06-12|民营公司  |  150-500人  |  多元化业务集团公司计算机服务(系统、数据服务、维修)||公司地址：上海市国泰路127弄1号楼5楼(邮编：200433)
外贸业务员-欧洲海外市场销售（轮胎）|青岛特朗德国际贸易有限公司|青岛-崂山区|3-8千/月|06-12|民营公司  |  少于50人  |  贸易/进出口||公司地址：青岛市崂山区深圳路天泰金融广场(邮编：266000)
海外技术支持|杭州朵想数据技术有限公司|杭州-西湖区|0.8-1万/月|06-12|民营公司  |  150-500人  |  通信/电信/网络设备计算机软件||公司地址：杭州市西湖区浙大科技园A座东区320室(邮编：310012)
外贸经理/国际业务经理/海外业务经理|深圳市光中道电子有限公司|深圳-福田区|1-1.5万/月|06-12|民营公司  |  50-150人  |  电子技术/半导体/集成电路||公司地址：福田区华强北振兴路华美大厦东座530（工厂地址：福永）(邮编：518031)
海外市场拓展及翻译|昆山迈吉兴建筑设计有限公司|上海-杨浦区|3-6千/月|06-12|民营公司  |  少于50人  |  建筑/建材/工程影视/媒体/艺术/文化传播||公司地址：上海市杨浦区，江浦路2117号220室(邮编：200093)
收银员（海外滩店）|杭州鸣晨餐饮管理有限公司|上海|3-4.5千/月|06-12|民营公司  |  1000-5000人  |  餐饮业酒店/旅游||公司地址：上城区婺江路333号蕙沣大厦B座1202室(邮编：312000)
货运代理（货代） 海外市场专员|深圳马士威尔国际物流有限公司|深圳-宝安区|0.3-1万/月|06-12|民营公司  |  少于50人  |  交通/运输/物流贸易/进出口||公司地址：深圳市宝安区西乡街道共和工业路107号华丰互联网创意园A座102室(邮编：518102)
海外房产置业顾问|深圳市邦拓投资顾问有限公司|北京-朝阳区|1-1.5万/月|06-12|民营公司  |  150-500人  |  房地产||公司地址：深圳市福田区福华一路大中华国际交易广场东座2703室(邮编：518048)
海外销售主管/经理|广州海邦国际货运代理有限公司|深圳-罗湖区|4.5-6千/月|06-12|民营公司  |  150-500人  |  交通/运输/物流||公司地址：广州市天河区黄埔大道西富星商贸大厦西塔13楼(邮编：510600)
海外会计兼投资关系（经理）|广州康臣药业有限公司|广州-萝岗区|8-18万/年|06-12|上市公司  |  1000-5000人  |  制药/生物工程||公司地址：广州市萝岗区经济技术开发区东区东鹏大道71号(邮编：510760)
散货拼箱海外操作兼客服|深圳市威嘉国际货运代理有限公司|深圳-罗湖区|6-8千/月|06-12|民营公司  |  少于50人  |  交通/运输/物流贸易/进出口||公司地址：深圳市罗湖区海外联谊大厦2006-2009室(邮编：518000)
跨境电商推广/海外市场推广主管|广州优脉电子商务有限公司|广州-白云区|0.6-1万/月|06-12|民营公司  |  50-150人  |  贸易/进出口互联网/电子商务||公司地址：黄石街道江夏大塘大街COCO大院文化产业园U型楼402(邮编：510000)
国际空运海外销售推广|深圳柏阳国际物流有限公司|宁波|1-1.5万/月|06-12|民营公司  |  50-150人  |  交通/运输/物流||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
市场专员（上市公司 双休 五险一金 海外培训/旅游）|北京新东方前途出国咨询有限公司郑州分公司|郑州-金水区|3-6千/月|06-12|民营公司  |  50-150人  |  专业服务(咨询、人力资源、财会)||公司地址：郑州市金水区农业路花园路交叉口西南交郑州国贸中心A座29层(邮编：450000)
海外市场销售|苏州工业园区高泰电子有限公司|苏州|0.5-1.5万/月|06-12|民营公司  |  150-500人  |  电子技术/半导体/集成电路印刷/包装/造纸||公司地址：园区巷灯街2号(邮编：215122)
外贸业务/外贸跟单/翻译/国际业务/海外业务|深圳市信美通新技术有限公司|深圳-龙华新区|4.5-6千/月|06-12|民营公司  |  150-500人  |  多元化业务集团公司电子技术/半导体/集成电路||公司地址：宝安区大浪街道办石凹第二工业区第五栋(邮编：518109)
海外客服/操作|青岛金沃国际物流有限公司|青岛-市南区|3-4.5千/月|06-12|民营公司  |  少于50人  |  交通/运输/物流||公司地址：青岛市市南区香港中路18号福泰广场B座1402室(邮编：266072)
海外销售|深圳立芯电子信息有限公司|深圳-罗湖区|1-1.5万/月|06-12|民营公司  |  150-500人  |  电子技术/半导体/集成电路||公司地址：罗湖区南湖街道办人民南路3005号深房广场B座1502(邮编：518000)
海外销售大客户经理/高级外贸业务员|上海智位机器人股份有限公司|上海|0.5-1万/月|06-12|合资  |  150-500人  |  互联网/电子商务计算机软件||公司地址：上海浦东新区亮秀路112号Y1座615室(邮编：200120)
海外大区经理（上海 嘉定区）|上海瑞尔实业有限公司|上海-嘉定区|1.5-3万/月|06-12|民营公司  |  1000-5000人  |  汽车及零配件机械/设备/重工||公司地址：嘉定区方泰镇众川路333号(邮编：201805)
海外服务专员|佛山六维度科技投资有限公司|佛山|5-15万/年|06-12|民营公司  |  50-150人  |  贸易/进出口互联网/电子商务||公司地址：佛山市禅城区绿景一路13号金智慧商业广场A座二楼（距广佛地铁季华园地铁站D出口500米）(邮编：528000)
海外销售总监|上海艺品数码科技有限公司|上海-杨浦区|1.8-3万/月|06-12|民营公司  |  50-150人  |  建筑/建材/工程房地产||公司地址：国康路98号202室(邮编：200092)
海外业务员|万盛进出口贸易有限公司|东莞-厚街镇|0.6-1万/月|06-12|民营公司  |  150-500人  |  贸易/进出口家具/家电/玩具/礼品||公司地址：东莞市厚街镇家具大道264号瑞彤国际家居生活馆(邮编：523948)
京东 海外销售员|深圳市易科森科技发展有限公司|深圳-龙华新区|6-8千/月|06-12|民营公司  |  少于50人  |  互联网/电子商务贸易/进出口||公司地址：龙华区民治新牛路U创谷D916(邮编：518131)
英文SEM海外推广 google adwords bing 广告|广州时时美电子商务有限公司|广州-荔湾区|0.6-1万/月|06-12|民营公司  |  150-500人  |  互联网/电子商务计算机软件||公司地址：荔湾区逢源路128号金升大厦805室(邮编：541000)
外贸销售国际营销贸易专员跟单助理海外业务翻译奖金|北京天逸昌晟商贸有限公司|北京|10-15万/年|06-12|民营公司  |  少于50人  |  批发/零售家具/家电/玩具/礼品||公司地址：丰台区富丰路2号星火科技大厦9层901(邮编：100038)
海外部经理|深圳渝航国际货运代理有限公司|深圳-罗湖区|0.8-1万/月|06-12|民营公司  |  少于50人  |  交通/运输/物流贸易/进出口||公司地址：罗湖区嘉宾路2008号彭年广场东佳大厦2302室(邮编：518010)
海外分部客户经理（亦招实习生）|福建恒安集团有限公司|泉州|3-4.5千/月|06-12|民营公司  |  10000人以上  |  快速消费品(食品、饮料、化妆品)||公司地址：福建晋江恒安工业城(邮编：362261)
海外区域经理|广东德宁生物技术有限公司|异地招聘|10-40万/年|06-12|民营公司  |  50-150人  |  农/林/牧/渔制药/生物工程||公司地址：广东省佛山市顺德区大良凤翔工业园成丰路8号(邮编：528399)
海外客服|上海威世国际货物运输代理有限公司|上海-虹口区|4.5-6千/月|06-12|民营公司  |  少于50人  |  交通/运输/物流贸易/进出口||公司地址：上海市虹口区东大名路908号金岸大厦7楼C座(邮编：200082)
海外客服|利通物流有限公司上海分公司|南京-建邺区|3-4.5千/月|06-12|50-150人  |  交通/运输/物流|  交通/运输/物流贸易/进出口||公司地址：上海市虹口区东大名路908号金岸大厦7楼C座(邮编：200082)
国际物流海外仓业务员|广州市柏迅货运代理有限公司|广州-白云区|6-8千/月|06-12|民营公司  |  50-150人  |  交通/运输/物流互联网/电子商务||公司地址：白云区鹤龙街黄边三横路22号1楼(邮编：510420)
外贸业务员/海外销售精英/外贸专员（急聘）+高薪诚聘|深圳市时代环球科技有限公司|深圳-福田区|0.3-1.5万/月|06-12|民营公司  |  50-150人  |  电子技术/半导体/集成电路贸易/进出口||公司地址：福田区福民路知本大厦2306(邮编：518000)
海外业务助理|艾珐装帧材料（上海）有限公司|上海-松江区|6-7千/月|06-12|外资（非欧美）  |  50-150人  |  印刷/包装/造纸||公司地址：上海市松江区东兴路385号5号厂房(邮编：201613)
海外客户服务专员|深圳吉吉国际物流供应链管理有限公司|深圳-罗湖区|5-6千/月|06-12|民营公司  |  少于50人  |  交通/运输/物流贸易/进出口||公司地址：深圳市罗湖区和平路1199号金田大厦1104-1106(邮编：518031)
海外客服（厦门）|凯迪海运（深圳）有限公司|厦门|4-6千/月|06-12|外资（非欧美）  |  500-1000人  |  交通/运输/物流贸易/进出口||公司地址：深圳市罗湖区东门南路食出报关大厦7楼/9楼(邮编：518001)
