qc_job_name|qc_job_desc|qc_co_name|qc_job_loc|qc_job_pay|qc_job_date|qc_co_type|qc_co_ee_size|qc_co_tags|qc_co_desc|qc_co_address
外贸业务员/外贸销售/海外销售/外贸专员|1年经验大专招聘4人06-26发布带薪年假五险一金专业培训节日福利绩效奖金|深圳市环盛机电有限公司|深圳-龙岗区|6-8千/月|06-26|民营公司  |  少于50人  |  贸易/进出口机械/设备/重工| 深圳市环盛机电有限公司专业生产电脑刻字机与雕刻机等数控设备。公司坚持以ISO9001：2008为生产标准，坚持每台机器出厂细致检测；专业团队为客户提供完善与周到的售前售后服务。企业精神：诚信、务实、高效、创新。经营理念：以人为本，规范科学管理；以勤为先，力争行业先锋；以诚为信，创造终身客户；以厂为荣，铸就迈卡品牌。团队的力量：10年业内经验的技术研发团队、营销团队、服务团队，在创新的同时能保证产品的质量，可为您提供完善的市场运作方案和最信赖的服务。质量方针：质量为本，科学管理，持续改进，客户满意。战略目标：以业务拓展为基石，客户关系为核心，客户服务为支柱，产品创新为导向，让MYCUT迈卡成为世界的一流品牌。www.mycutcutter.com,www.mycut.com.cn|公司地址：龙岗区横岗228工业区17栋2楼201室(邮编：518115)
海外销售|招聘若干人06-26发布英语熟练粤语熟练五险一金员工旅游专业培训出国机会绩效奖金年终奖金|深圳中启国际物流有限公司|广州-白云区|3-6千/月|06-26|民营公司  |  50-150人  |  交通/运输/物流|深圳中启物流有限公司，是一家经国家商务部批准的货物航空运输代理企业，专业从事国际航空进出口业务的物流企业。公司拥有一批专业、敬业、高素质并从事多年空运、海运，报关领域的精英团队，公司目前与国内外数十家知名物流企业和航空公司强强联合，具有WCA资格，一级货运代理资格，致力于打造华南地区知名空运服务商!主要产品：CV卢森堡航空、SQ新加坡航空、PO美国博立航空,NH全日空航空等从成立之初起,公司着眼于中国大陆，依托香港的包板包量的优势，业务已拓展至欧洲、美国，及全球各地主要城市。经过全体成员的共同努力，公司在国内外同行中建立起很好的口碑。中启空运拥有数条经深圳、香港直航到世界各地航线，为客户提供准时、限时的到达服务（指定航线）。公司优势：除普通货物外，公司也能为客户超大件体积、超重、项目物流，危险品,移动电源，纯电池，电子烟，平衡车危品运输提供专业的解决方案主营业务：空运进出口、国际快递进口，国际清关进口,报关及海外清关、超大件体积、超重、危险品等特殊产品的服务，国际海运，FBA海空运，电商物流等其他项目；|公司地址：广东省广州市白云区(邮编：510440)
海外移民市场运营|2年经验本科招聘若干人06-26发布五险一金员工旅游年终奖金绩效奖金专业培训定期体检|上海陆家嘴国际金融资产交易市场股份有限公司|上海-浦东新区|0.6-1.5万/月|06-26|民营公司  |  1000-5000人  |  金融/投资/证券互联网/电子商务|公司简介上海陆家嘴国际金融资产交易市场股份有限公司（简称陆金所），公司成立于2011年9月，是由上海市金融办批准设立，注册资金4.2亿元人民币，总部位于上海陆家嘴，是中国平安保险（集团）股份有限公司旗下重要成员之一。公司拥有完善的治理架构，国际化、专业化的管理团队，结合中国平安集团强大的资金优势以及数十年综合金融经验，拥有行业领先的风险管控能力，以金融资产交易及信息服务为主业，致力于打造一个面向个人客户、中小企业、金融机构的开放、便捷、安全的综合性投融资平台。公司愿景结合全球金融发展与互联网技术，通过风险管理领域的多年实践经验和互联网领域的高端人才积累，为资产提供者和投资者创建一个领先、开放、便捷、安全的投融资平台，为个人提供财富增值服务，为中小企业提供融资服务，为金融机构资产创造流动性，增加资金效益。集团公司简介中国平安保险（集团）股份有限公司（以下简称“中国平安”，“集团”）于1988年诞生于深圳蛇口，是中国第一家股份制保险企业，至今已发展成为融保险、银行、投资等金融业务为一体的整合、紧密、多元的综合金融服务集团。集团通过旗下各专业子公司及事业部，向近8000万客户提供保险、银行、投资等全方位、个性化的金融产品和服务。中国平安是国务院批准的三大综合金融试点单位之一，也是国内首家具有金融全业务牌照的金融集团，为香港联合交易所主板及上海证券交易所两地上市公司，股票代码分别为2318和601318。截至2012年12月31日，中国平安拥有超过51万名寿险销售人员及近19万名正式雇员。集团总资产达人民币28,442.66亿元。中国平安在2012年《福布斯》“全球上市公司2000强”中名列第100位；在美国《财富》杂志“全球领先企业500强”中名列第242位，并蝉联中国内地非国有企业第一；除此之外，在英国WPP集团旗下MillwardBrown公布的“全球品牌100强”中名列第78位。备注：应聘材料公司将归档留底，恕不退还，敬请谅解。谢谢！|公司地址：上海市浦东新区陆家嘴环路1333号平安金融大厦西裙楼(邮编：200120)
海外事业部 管理培训生|招聘若干人06-26发布做五休二加班补贴餐饮补贴交通补贴节日福利带薪年假五险一金通讯补贴绩效奖金周末双休|金海棠资产管理有限公司|上海-虹口区|6-8千/月|06-26|民营公司  |  150-500人  |  金融/投资/证券|金海棠资产管理有限公司（简称“海棠金融”）是一家依托专业投行的综合金融服务平台。其包含专业的分析评级和金融大数据、财富管理、家族财富办公室、定制化产品设计与服务、线上专业投资者教育五条业务线以及海棠尊享，海棠磐石，海棠花开，海棠熹��，海棠公爵，海外资产六条产品线。海棠金融面向高净值投资者、大型财团、金融机构等全类型的客户提供定制化的金融产品的设计与服务。同时，其拥有专业的分析评级和金融大数据，依靠私募行业的大数据支持，并基于数据的评测、评级和分析，形成专业的分析评级的报告和数据，提供给金融机构作为专业性参考。|公司地址：上海市虹口区武进路190号虹口SOHO大厦20层(邮编：200080)
海外投放专员|3-4年经验招聘若干人06-26发布粤语精通英语良好五险一金年终奖金绩效奖金定期体检周末双休周工作40小时中午包餐意外团体险13月薪专业培训|广州点控网络科技有限责任公司|广州-天河区|6-8千/月|06-26|ÃñÓª¹«Ë¾  |  ÉÙÓÚ50ÈË  |  ÍøÂçÓÎÏ·»¥ÁªÍø/µç×ÓÉÌÎñ|ÎÒÃÇÊÇÐÂÉèÁ¢µÄÊÖÓÎ×¨ÃÅ¹«Ë¾£¬×¨×¢ÓÚÈ«·½Î»µÄÐÝÏÐÀàÆåÅÆÀàÓÎÏ·¡£ÒòÓ¦ÊÀ½çµÄÐÝÏÐÓéÀÖ³±Á÷£¬ÆåÅÆ²úÒµÒÑ³ÉÎªÇáËÉ¡¢»¶ÀÖ¡¢ºÏ¼Ò³öÓÎÓéÀÖÓÅÖÊÑ¡ÔñµÄ¹Ø¼ü²úÒµ¡£ÎÒÃÇ×¨¾«ÓÚÐÐ¶¯×°ÖÃµÄÆåÅÆÓÎÏ·ÑÐ·¢ÓëÔËÓªÄÜÁ¦¡£²¢ÖÂÁ¦ÓÚÐ¯ÊÖ¹ú¼Ê¼¶ÆåÅÆÓÎÏ·ÑÐ·¢ÆóÒµ»ï°é£¬ÒÔÕ¸ÐÂÉÌÒµÄ£Ê½£¬¹²Í¬¿ªÍØÈ«ÇòÆåÅÆÓÎÏ·ÐÐ¶¯ÊÐ³¡ÉÌ»ú¡£¼áÊØ·þÎñ×ÚÖ¼£¬ÈÃÍæ¼ÒÏíÊÜ·Ç·²µÄÓÎÏ·ÌåÑéÔòÊÇÎÒÃÇ·¢Õ¹µÄÄ¿±ê!!Ö÷ÒªÉÌÆ·/·þÎñÏîÄ¿¹«Ë¾Ö÷Òª²úÆ·ÎªÖÇÄÜÊÖ»ú¼°Æ½°åÓÎÏ·Ö®Æó»®¡¢ÑÐ·¢¡¢ÓªÏú¡¢´úÀí¡¢ÔËÓªÓë·þÎñ¡£¾­ÓªÀíÄîÎÒÃÇÊÇÒ»¸ö³äÂú»îÁ¦¼°ÈÈÇéµÄ¹«Ë¾£¬±ü³Ö×ÅÈËÐÔ»¯µÄ¹ÜÀí£¬ÖØÊÓÈË²ÅÅàÑø£¬×¢ÖØÍÅ¶ÓºÏ×÷¾«Éñ!!ÎÒÃÇ×·Çó¸ß¹¤×÷Ð§ÂÊ£¬×¢ÖØÏîÄ¿Ê±³ÌµÄºÏÀí°²ÅÅ£¬²»Ìá³«²»½¨ÒéÔö¼Ó¶îÍâ¹¤×÷Ê±¼ä£¡²»¼Ó°à²ÅÊÇÎÒÃÇµÄ³£Ì¬£¡¹«Ë¾¸£Àû£ºÍêÉÆÐ½³êÖÆ¶È£¨Ã¿Äê¼ÓÐ½£©¡¢ÎåÏÕÒ»½ð¡¢µÝÔöÊ½ÓÐÐ½Äê¼Ù¡¢Äê¶ÈÌå¼ì¡¢ÍÅÌåÒâÍâÏÕ¡¢ÖÐÎç°ü²Í¡¢ÏÂÎç²è...ºóÐøÂ½Ðø¸üÐÂÍêÉÆÎªÁËÒòÓ¦¹«Ë¾ÒµÎñÀ©Õ¹µÄÐèÇó£¬ÎÒÃÇÐèÒª¸ü¶àÓÅÐãµÄÈË²Å¼ÓÈëÎÒÃÇµÄÍÅ¶Ó£¬ÎÒÃÇÖØÊÓÃ¿Ò»Î»Ô±¹¤£¬³ýÁËÁ¼ºÃµÄ¹¤×÷»·¾³£¬Ò²Ìá¹©Ñ§Ï°¼°³É³¤µÄ¿Õ¼ä£¬»¶Ó­ÓÅÐãµÄÄãÒ»Æð¼ÓÈëà¸!!!|¹«Ë¾µØÖ·£ºÌìºÓÇøÌÄÏÂ¶þÉçÓ¿±ßÂ·69ºÅÌì»ÔÉÌÒµ´óÏÃ709ÊÒ(ÓÊ±à£º510000)
海外客服 Overseas CS|2年经验大专招聘2人06-26发布英语熟练英语良好周末双休带薪年假五险一金出国机会绩效奖金|菲拉国际货运代理（上海）有限公司|上海|3.5-7千/月|06-26|民营公司  |  少于50人  |  交通/运输/物流贸易/进出口|   菲拉国际货运代理(上海）有限公司是经国家批准的一级国际货运代理公司，注册资金为人民币伍佰万元正。随着上海成为国际航运中心地位的日益显现，菲拉致力发展成为集国际化、专业化、网络化和信息化为一体的综合性物流公司。自成立以来，公司逐步完善国内外服务网络，力求为国内外广大企业、厂商提供全面的物流解决方案。凭着雄厚的实力、完善的网络资源和丰富的运输经验，公司从纯粹的海运发展到海、陆、空、多式联运及物流服务；从纯粹的预付货发展到指定FOB货和预付货相结合的经营模式；从整箱运输发展到拼箱集运；       菲拉国际货运致力为国际贸易提供各种服务，包括空运、国际集装箱和散杂货运输、第三国家转口运输等业务，具体包括航空货物装载、船载货物装卸、舱位预定、仓储、分拨、贴标、缠膜和短途运输、货柜拆拼、通关清关、商检熏蒸代办、货物保险以及各种国内物流服务和国外清关送货服务。|公司地址：普陀区白兰路137弄绿洲广场A座2311室(邮编：200080)
海外业务员(亚洲区域)|本科招聘1人06-26发布五险一金包住宿绩效奖金节日福利专业培训餐饮补贴|上海奔腾电工有限公司|上海-松江区|0.8-1万/月|06-26|合资  |  1000-5000人  |  家具/家电/玩具/礼品多元化业务集团公司|上海奔腾电工有限公司是上海奔腾企业集团旗下集研发、制造、销售个人护理小家电产品的高新技术企业。公司位于上海市松江区沪松路，拥有现代化的生产厂房及先进的全自动装配生产线，目前主要产品有电动剃须刀、电吹风等。上海奔腾电工有限公司在介入个人护理小家电行业之初，即与国际著名4a广告公司展开全面合作，目标三年内成为中国个人护理小家电行业的***。为此，公司从市场策划、产品研发、质量控制、生产管理、营销模式等全方位战略布局和资源整合。上海奔腾电工有限公司组建了行业最优秀的研发设计、质量控制和生产管理团队，因此无论从产品设计理念、质量要求，还是生产控制等各个环节均等同于甚至优于行业最知名的外资品牌，且远远领先于国内同行业品牌。上海奔腾电工有限公司所具备的全自动化立体式生产线、检测系统以及国际化样板生产车间，最先进的喷涂工艺和最精良、一流的产品生产设备，超强的研发实力，以及优秀的管理团队，这些都是奔腾电工有限公司走向成功的有力保障。    现阶段，我公司已在国内展开了全面的营销网络，发展了200多家一级代理商，拥有5000多个零售终端和800多家售后服务网点。这些都确保了奔腾电工产品的市场全面有效拓展以及品牌覆盖率的迅速提升。同时奔腾电工在积极规划拓展海外市场。展望未来，奔腾电工有限公司将秉承奔腾企业集团“致力于成为优秀的全球小家电品牌运营商”的发展目标，以及“严谨、执着、勤奋、友善”的企业精神，依托集团强大的品牌优势和营销网络，发挥自身技术优势，不断创新。以优质的产品，为全球消费者创造时尚、健康的个人护理小家电知名品牌而努力，为民族工业的崛起作出贡献。|公司地址：上海市松江区文翔东路99号(邮编：201613)
海外管理培训生/储备干部（仅限硕士）|1年经验硕士招聘3人06-26发布周末双休弹性工作带薪年假五险一金专业培训绩效奖金全勤奖节日福利|赢在起点早教.少儿教育|上海-黄浦区|6-8千/月|06-26|民营公司  |  500-1000人  |  教育/培训/院校|我们的简介赢在起点提出了能力早教，开创了中国早教的细分品类时代。成立于2001年，前身是华浦教育集团和国家教育部“科学教育”课题组合作创立的亲子教育、学习能力实验示范基地，成为当时上海较早的早教中心，目前已拥有14家大型直营早教中心。赢在起点将发挥能力早教课程等全套知识产权优势，致力于儿童能力发展，成为中国早教界的风向标。我们的理论、产品和服务能力早教我们的课程从儿童发展规律和特点出发，培养受益终身的综合能力，形成能力、习惯和人格全面发展的优势。能力早教给孩子带的走的能力，而不是背不动的书包。双核课程赢在起点基于能力早教课程体系所研发的I4CE能力早教教学系统，以其独特的“双核效应”，带给孩子和家长超越期望的早教体验。“双核”课程，一“核”是以孩子喜欢为核心，让其在游戏中快乐学习；另一“核”是以家长需求为核心，助其全面提升孩子各项能力，从容解决入学适应、幼小衔接等一系列育儿难题。儿童+家长共育赢在起点开创了0-6岁专业分龄能力早教体系；通过儿童家长共育的双核课程解决了育儿难题；提供儿童能力测评、家长讲座、育儿宝典、微课堂等线上线下综合育儿方案，打通机构育儿和家庭育儿的两个场景。儿童+家长共育，全面助力儿童成长。我们的团队赢在起点作为中国早教业的领军品牌，对老师提出了极近完美的要求：高标准-选拔、严要求-培训、懂小孩-专业、正能量-身教，因为TA们往往是许多孩子人生中的第一个老师。目前赢在起点在华东地区有16家校区，在职员工超过1000人。赢在起点对于教学质量有着极致的追求，早在2002年便成立了全球能力早教研究院。目前拥有超过30人的研发团队，其成员来自国内外各大高校研究生院。我们的理想我们是早教研究者更是爱好者，传授和分享早教专业知识和经验是我们的乐趣。孩子的教育体现出父母的爱和责任，我们愿和广大父母一起通过能力早教，让爱传承。|公司地址：上海市云南南路101号5楼(邮编：200021)
海外销售|大专招聘2人06-26发布英语熟练五险一金员工旅游通讯补贴专业培训出国机会绩效奖金年终奖金弹性工作定期体检节假日福利|上海聚翰船务有限公司|上海-虹口区|0.8-1万/月|06-26|民营公司  |  少于50人  |  交通/运输/物流|      上海聚翰船务有限公司是经国家外经贸部（现商务部）批准成立的一家国际性船务公司。公司以国际海运集装箱运输代理业务为核心，提供包括海运整箱订舱，拼箱，空运，铁路运输，报关报检，仓储，陆路运输，货物保险代理，商务法务咨询等业务。       我司自成立以来，一直秉持信誉为本，服务取胜之企业宗旨，并以提供准确、迅捷、高效、之服务为最终目标。客户的满意，是我们不懈的追求；客户的信赖，是我们不断前进的动力。我们将竭诚为客户搭建贸易桥梁，降低运输成本，实现货物的高效流通。客户的需要就是我们的需要，客户的目标就是我们的目标。累积点滴改进，迈向完美品质。以客户为中心，勤奋敬业，诚信经营。以客户为中心，团结务实，合作双赢。       在国内上海聚翰船务有限公司能够为客户提供卓越的服务，并为客户拓展新的商务渠道提供了机遇。       在这里，无论你从事的是高管还是一般的行政、营销、会计、设计、仓管、物流等都能实现你人生应有的价值。欢迎有激情、有责任的你加入。|公司地址：四平路257号20楼E座(邮编：200081)
市场部主管（海外市场）|2年经验大专招聘若干人06-26发布英语良好五险一金补充医疗保险免费班车餐饮补贴定期体检|裕秀物流（上海）有限公司|上海|1-1.5万/月|06-26|外资（非欧美）  |  500-1000人  |  交通/运输/物流|公司行业：    交通/运输/物流公司类型：    外商独资公司规模：    60-120人裕秀物流（上海）有限公司是一家经中华人民共和国商务部、交通部批准的国际货运代理企业公司。依托强大的全球网络优势，致力于国际第三方物流业务的发展，主要经营项目包括：多种方式（海运、空运、陆运）的国际货物运输及其配套服务、国际中转、国际贸易、国际采购、保税仓储及运输业务等。我们的专业物流人才，可根据客户对运输、仓储和分拨的要求开发和制定服务内容：如为客户设计操作计划书，提供物流咨询和信息技术应用、设计大件运输路线和操作流程、延长纵深服务领域和提供一站式服务项目，利用国内和国际网络扩展服务区域，以较大限度地为客户节省成本。服务内容包括订舱、装箱、仓储、拖车、报关、报检、配送、物流相关信息等。有意应聘者将您的中英文简历、学历证书复印件、身份证复印件和近照一张按所述地址寄往公司。本公司一经录用，将提供完善的福利保障。|公司地址：上海市静安区江场路1228弄20号中融信托大厦801室(邮编：200072)
培训师（双休+年度海外旅游）|2Äê¾­Ñé´ó×¨ÕÐÆ¸2ÈË06-26·¢²¼ÎåÏÕÒ»½ðµ¯ÐÔ¹¤×÷¶¨ÆÚÌå¼ì×¨ÒµÅàÑµ³ö¹ú»ú»á¼¨Ð§½±½ðÄêÖÕ½±½ðÔ±¹¤ÂÃÓÎ²¹³äÒ½ÁÆ±£ÏÕ²ÍÒû²¹Ìù|DELSK GLOBAL PROMOTORS, S.L.|广州|4-6千/月|06-26|外资（欧美）  |  50-150人  |  房地产|戴尔斯克集团于2008年成立于德国科隆市，同年在北京设立北京戴斯克商务有限公司。公司集合了全球不同国家房产、投资资源，为中国境内超过750家企业提供专业的境外投资服务经过多年发展，目前项目涵盖了西班牙、葡萄牙、爱尔兰、塞浦路斯、希腊、马耳他、英国、德国、圣基茨、安道尔、美国、新西兰、加拿大、澳大利亚、拉脱维亚、泰国等。截止至2015年12月，共在爱尔兰、泰国、中国香港、北京、广州、深圳、上海、成都等地设立8家分支机构，计划2017年完成越南、韩国、日本、俄罗斯、中国台湾、澳大利亚分公司或办事处的设立。|公司地址：朝阳区建国路81号华贸中心1号楼21层(邮编：100025)
海外销售|无工作经验大专招聘2人06-26发布英语良好普通话良好绩效奖金弹性工作员工旅游出国机会五险一金|深圳市美誉达国际货运代理有限公司|深圳-宝安区|0.3-1万/月|06-26|民营公司  |  少于50人  |  交通/运输/物流|深圳美誉达国际货运代理有限公司是专为出口企业以及贸易公司提供国际空运，国际海运等运输服务，空运主要以香港机场为主，海运主要以整柜和散货为主，市场为中南美，美国，澳洲，东南亚为主市场，.目前客户遍布珠江三角洲以及国外各大省市，其中合作大量国外买家.公司规模适中，为员工提供良好的待遇及丰富的生活.我们本着诚信，专业，高效的服务水准为广大客户提供优质服务。|公司地址：深圳市宝安西乡街道名优采购中心B座1区302室(邮编：518101)
手游产品运营海外|1年经验招聘若干人06-26发布五险一金补充公积金员工旅游绩效奖金年终奖金专业培训餐饮补贴下午茶|深圳市壹柒伍网络科技股份有限公司|深圳|3-5千/月|06-26|民营公司  |  50-150人  |  网络游戏| 深圳市壹柒伍网络科技股份有限公司（简称175公司），由几位在互联网产业、计算机产业、游戏产业拥有创业经验的人员于2008年1月共同创办。管理团队成员包括曾经在国家863课题组的科研人员和从硅谷成功创业归来的技术精英。主营业务是互联网网游平台的运营与开发。    公司旗下的175平台经过几年时间发展，已经成为国内三大电竞平台之一，在FPS对战平台领域位列国内前茅。175团队运营的游戏包括风靡全球的CS反恐精英1.5版，CS反恐精英1.6版；目前，175人正在全力以赴致力于打造一个FPS多游戏运营的平台“一起玩平台”及FPS游戏社区www.175pt.com。页游平台：www.175wan.com。      未来几年将实行运营和发行，自建流量渠道，自主游戏研发。形成三轮驱动。全方位布局手游竞技领域，包括收购团队和自主研发竞技游戏；发行和代理手游竞技类游戏；组织和承办手游竞技赛事；打造包括研发、发行、赛事、媒体、转播、竞技社交等在内的手游竞技的完整产业链。     175团队秉承“诚信正直、积极勤奋、建功立业、宽怀友爱”的企业价值观。我们每年会举办4期“175军校”。创造性的将自主培训与野外动态拓展训练结合。输送优秀的同事外出学习，全面提升团队和个人的综合素质；同时公司拥有员工“HappyOur校园文化俱乐部”。独特的“户外”与“校园”文化相结合,更大程度的给予团队成员锻炼提升和更多的发展成长机会！   舒适，轻松，活泼的办公环境；积极主动，友爱融洽的团队氛围；扁平化，人性化的管理。只为你可以将你的梦想和我们一起更好更快的实现！    175平台，欢迎自命不凡，路见不平一声吼，有独门绝技的各路大侠的加入！|公司地址：深圳市龙岗区雅宝路一号星河world大厦A栋21楼(邮编：518026)
APP海外推广|无工作经验大专招聘20人06-26发布英语良好五险一金员工旅游餐饮补贴专业培训出国机会绩效奖金年终奖金弹性工作定期体检|茂松软件有限公司成都分公司|成都|0.8-1万/月|06-26|外资（欧美）  |  150-500人  |  互联网/电子商务|      茂松软件有限公司是中国西部地区规模最大的、专业开发和运营社交网站的互联网公司之一，旗下20余个英文、德文、中文网站，目前拥有注册会员上千万。公司于2001年创立于硅谷，国内总部位于四川成都市中心和高新西区，另有乐山，绵阳，南充分公司，加拿大多伦多客服中心及乌克兰基辅技术中心。拥有200余名员工，分布于中国、美国、加拿大、俄罗斯、乌克兰和罗马尼亚。     公司旗下的主营交友网站successfulmatch.com,旗下有20余个英文niche交友网站，专注于各个细分交友市场，目前已有多个网站在其细分市场做到行业第一。好莱坞明星CharlieSheen曾经在millionairematch.com上找到自己女朋友，公司多个网站被国外著名媒体报道，如CNN,Dailymail,BBC,Reuters等等。      茂松软件有限公司致力于百年发展，为中国、美国乃至全世界提供高品质电子商务服务。公司携手员工共同发展，在这里，公司为每名员工提供成长的力量。    |公司地址：武侯区人民南路三段17号(邮编：610041)
海外销售经理（尼日利亚）|招聘1人06-26发布|深圳市德凯胜科技有限公司|深圳|0.8-1.5万/月|06-26|民营公司  |  50-150人  |  贸易/进出口|    德凯胜（Tecsync）成立于2012年3月23日，专注于移动智能设备的研发设计及品牌运作，致力于打造符合市场需求且性价比高的移动智能产品，与合作伙伴共赢成长，为终端消费者提供超越期待的产品体验。    目前自主运营海外品牌XTOUCH&INNJOO;，市场覆盖中东、非洲及欧洲，主打产品为智能手机、平板和智能穿戴设备。总部位于深圳，在迪拜，沙特、西班牙、南非，埃及，尼日利亚设立分公司，公司立足于海外市场，服务于当地市场，品牌在中东地区通讯产品名列前茅。    欢迎登录我们的公司网址：http://www.xtouchdevice.com/和http://www.innjoo.com/|公司地址：深圳市宝安区西乡街道宝源路宝安互联网产业基地A区8栋510-513(邮编：518101)
国际物流销售 / 海外仓储业务|3-4年经验招聘3人06-26发布五险一金员工旅游补充医疗保险出国机会专业培训年终奖金绩效奖金|深圳市多特真技术有限公司|深圳-南山区|6-8千/月|06-26|民营公司  |  少于50人  |  贸易/进出口|EiliisaleaderinMobilityEnergySolutions,offeringanextensiverangeofinnovationsdesignedandvarioustechnologiesincludinglithium-ionbatteries,ACadapter,Charger,solarenergyandotherenergypowers. Theeverdemandingelectronicsdeviceshavetheirownnecessitiesforpower.EILIhasthebestadaptedsolutionthatsuitsyourdevicesnomatteryouareathome,travelorleisure. EILIhasbecomeoneofthefastestgrowingcompaniesinMobilityPowerIndustry.WithastrongEngineeringandMarketingteaminHongKongandbackedbythedependableandmanufacturingunitsinMainlandChina.EILIisdedicatedinprovidingversatility,qualityandinnovativesolutions. ProductsRanges:-UniversalPowerAdapters;-Type-CDocking,Hubs,CardReader;-USBChargers;-Accessories;|公司地址：深圳市南山区丽山路桑泰大厦1801(邮编：518055)
海外业务员|无工作经验大专招聘5人06-26发布英语熟练普通话熟练五险一金绩效奖金专业培训出国机会员工旅游提供宿舍|深圳亚历山大国际货运代理有限公司|深圳-南山区|0.3-1.5万/月|06-26|民营公司  |  少于50人  |  交通/运输/物流|    深圳亚历山大国际货运代理有限公司是由中华人民共和国外经贸部批准的一级国际货运代理企业，是广东省货运代理协会的会员！主要经营国际海运、空运、快递进出口货物的国际运输代理业务，包括订舱、仓储、中转、集装箱拼箱、拆箱、报关、报验、保险、相关的短途运输服务及咨询业务。公司还提供第三国转口，欧盟LDP服务，为客户解决反倾销,配额方面的限制提供更多的物流通道,降低客户贸易成本,促进客户业务发展!        亚历山大凭借自身的综合实力的优势和多年以来的业务发展形成了覆盖全国、辐射海外全球的运输网络及信息网络。与国内外大中型船公司建立了良好紧密的合作关系，经营船公司有：MAERSK,APL,HANJIN,HPL,WANHAI,EMC，MSC,CSCL,COSCO等，空运经营KE，CA，SQ，SZ等航空公司，其中KE和CA的美国，欧洲是包板服务。我们的服务航线遍及欧美、澳新、中东，印巴，红海，东南亚、孟加拉湾、非洲等世界各地区。        亚历山大一贯遵循“通过我们的专业的服务，使您能够更多的专注自身业务的发展，有效提高企业竞争力，从中获得更大利润。”的经营理念竭诚为国内外广大客户提供安全、及时、快捷、高效的全方位的物流及其配套服务。    |公司地址：深圳南山区创业路18号怡海广场东座1701(邮编：518000)
海外投资/市场经理|3-4年经验本科招聘1人06-26发布|上海英翼文化传播有限公司|上海-静安区|0.6-1万/月|06-26|民营公司  |  50-150人  |  影视/媒体/艺术/文化传播|上海英翼文化传播有限公司是一家专业的多媒体内容提供商。公司秉持着“Dareformore”的国际先进理念，整合尖端资源优势，立志于打造“领先、专业、精致、周到”的服务，为多家强势媒体平台量身定制品牌节目，提供频道运营战略规划、视觉形象创意、推广传播执行以及跨媒体新业务延伸等。公司拥有国内顶尖创意制作团队，团队成员曾策划制作过东方卫视《我型我秀》、《加油，好男儿！》、湖南卫视《八月红歌会》等多档具有影响力的大型综艺电视节目，以及策划执行第七届残运会开幕式电视直播晚会等大型活动。“英翼传媒”自成立以来，凭借着无限的创意、高端的资源、雄厚的制作班底、严格的监制和精良的制作在业内享有广泛盛誉。2010年，“英翼传媒”与第一财经频道、宁夏卫视携手推出大型季播证券节目――《股市天天向上》引起极大反响，该节目连续获得八次“SMG总裁奖”，及“地面频道二十强”殊荣。2012年英翼传媒与星空卫视合作，重磅推出大型TALKSHOW节目《金星撞火星》《酷我真声音》等多档全新节目2012年英翼传媒与上海第一财经合作，重磅推出大型职场类节目《职场好榜样》《黄金五比一》2013年英翼传媒亲历打造了大型投融资类节目《梦想一下一战》，梦想下一战为梦想而战！|公司地址：静安区南京西路688号2005室（近上海电视台）(邮编：200041)
环球移民 海外投资顾问/销售顾问/咨询顾问/销售|5-7年经验大专招聘1人06-26发布五险一金周末双休带薪年假绩效奖金全勤奖专业培训通讯补贴|南京越加投资咨询有限公司|南京|2-3万/月|06-26|民营公司  |  50-150人  |  中介服务|     南京越加投资咨询有限公司（以下简称南京环球）为环球投资移民在国内设立的第十四家全资子公司。环球移民专注移民服务20多年，是中国移民行业知名品牌，同行业内规模最大、业务范围最广的出入境服务机构之一，也是因私出入境中介机构协会理事单位，被授予“中国出国移民行业十大品牌”。环球投资移民总部设立于北京，在广州、深圳、济南、西安、苏州、大连等国内的一二线城市有10多家分公司，还在香港，新加坡，加拿大多伦多，温哥华，澳大利亚墨尔本、欧洲等区域有分公司或者接待站，能够为客户提供一站式全球化移民服务。     南京环球坐落于南京鼓楼区紫峰大厦，投资移民业务将会是我公司的终身事业。作为国内知名移民公司，多年来我们公司坚定不移地贯彻“卓越来自专业”这一核心理念，并以“我们只做投资移民”这一极其鲜明的特色在全国出国行业独树一帜，取得了一流的成绩和荣誉，获奖无数。我公司以专业的外籍律师团队、完善的客户服务体系、贴心的海外安家服务、与环球的战略合作伙伴一起为客户提供诚信、高质的投资移民咨询、文案制作、海外接待及众多增值服务从而帮助数千成功人士实现移居海外的理想！    环球移民涉足的业务范围广泛，业务面覆盖亚、欧、美、大洋四大洲，办理30多个国家及地区的项目，平均市场占有率超过50%，力求在方方面面成为移民行业的旗舰品牌。随着公司规模、业务的不断扩大，我们着力建设一支高素质的专业团队为以后的海外发展打下坚实的基础。在此我们欢迎各地英才的加盟，与环球一起发展和进步。环球将为大家提供更好的职业前景和晋升机会，我们在此诚邀您的加盟！单位网址：http://www.globevisa.com.cn|公司地址：鼓楼区中山北路紫峰大厦2809-2811室(邮编：210009)
